date_reg,type,maker,model,colour,fuel,state
2024-02-18,motorcar,Honda,Civic,black,petrol,Kelantan
2024-07-17,motorcar,Proton,X70,black,petrol,Selangor
2024-10-11,motorcar,Perodua,Myvi,black,petrol,Sabah
2024-02-10,motorcar,Perodua,Bezza,white,petrol,Sabah
2024-08-08,motorcar,Honda,Civic,red,petrol,Sabah
2024-08-05,motorcar,Perodua,Myvi,red,petrol,Perak
2024-03-23,motorcar,Perodua,Myvi,white,petrol,Selangor
2024-09-24,motorcar,Perodua,Myvi,white,petrol,Selangor
2024-06-12,motorcar,Honda,City,silver,petrol,Kelantan
2024-08-16,motorcar,Perodua,Myvi,red,petrol,Johor
2024-05-15,motorcar,Perodua,Bezza,white,petrol,Kelantan
2024-05-26,motorcar,Honda,Civic,silver,petrol,Perak
2024-09-11,motorcar,Proton,Saga,white,petrol,Kedah
2024-06-06,motorcar,Toyota,Hilux,white,petrol,Kedah
2024-03-07,motorcar,Honda,HR-V,red,petrol,Kedah
2024-10-20,motorcar,Toyota,Yaris,white,petrol,Selangor
2024-05-16,motorcar,Perodua,Myvi,black,petrol,Selangor
2024-01-24,motorcar,Honda,City,silver,petrol,Sabah
2024-07-11,motorcar,Perodua,Myvi,grey,petrol,Selangor
2024-09-27,motorcar,Perodua,Axia,black,diesel,Selangor
2024-04-09,motorcar,Proton,X50,black,petrol,Pahang
2024-03-25,motorcar,Perodua,Myvi,grey,petrol,Johor
2024-08-07,motorcar,Perodua,Myvi,silver,petrol,Sabah
2024-10-12,motorcar,Toyota,Vios,grey,petrol,Selangor
2024-11-01,motorcar,Proton,X50,silver,petrol,Negeri Sembilan
2024-03-19,motorcar,Proton,X50,silver,petrol,Selangor
2024-08-26,motorcar,Proton,Saga,silver,petrol,Selangor
2024-07-04,motorcar,Mazda,Mazda 3,silver,petrol,Selangor
2024-02-01,motorcar,Proton,X50,white,petrol,Sabah
2024-10-08,motorcar,Perodua,Axia,red,hybrid_petrol,Selangor
2024-04-02,motorcar,Proton,X50,white,petrol,Johor
2024-10-16,motorcar,Proton,X50,red,petrol,Melaka
2024-10-12,motorcar,Proton,X70,black,petrol,Sabah
2024-04-20,motorcar,Perodua,Axia,white,petrol,Selangor
2024-03-27,motorcar,Perodua,Axia,silver,petrol,Pulau Pinang
2024-06-22,motorcar,Proton,Saga,silver,petrol,Kelantan
2024-02-13,motorcar,Proton,X70,red,petrol,Perak
2024-07-07,motorcar,Proton,Saga,red,petrol,Kelantan
2024-12-12,motorcar,Honda,City,grey,petrol,Selangor
2024-06-06,motorcar,Perodua,Bezza,white,petrol,Perak
2024-04-15,motorcar,Proton,Saga,red,petrol,Selangor
2024-02-14,motorcar,Proton,X70,red,petrol,Johor
2024-11-12,motorcar,Toyota,Yaris,red,petrol,Kedah
2024-03-20,motorcar,Toyota,Vios,grey,diesel,Pahang
2024-12-06,motorcar,Nissan,Almera,red,petrol,Melaka
2024-06-23,motorcar,Perodua,Axia,white,petrol,Johor
2024-09-20,motorcar,Toyota,Hilux,grey,petrol,Kelantan
2024-10-19,motorcar,Toyota,Hilux,black,petrol,W.P. Kuala Lumpur
2024-06-17,motorcar,Perodua,Myvi,white,petrol,Sarawak
2024-10-06,motorcar,Nissan,Almera,silver,petrol,Terengganu
2024-02-23,motorcar,Perodua,Myvi,red,petrol,Negeri Sembilan
2024-09-02,motorcar,Proton,X70,silver,petrol,Johor
2024-08-04,motorcar,Perodua,Axia,red,petrol,Negeri Sembilan
2024-03-19,motorcar,Mazda,CX-5,grey,petrol,Selangor
2024-04-27,motorcar,Toyota,Vios,silver,petrol,Sabah
2024-10-21,motorcar,Perodua,Axia,black,petrol,W.P. Kuala Lumpur
2024-03-16,motorcar,Perodua,Bezza,red,petrol,Johor
2024-09-10,motorcar,Toyota,Hilux,white,diesel,Kelantan
2024-11-15,motorcar,Honda,HR-V,grey,diesel,Selangor
2024-06-23,motorcar,Perodua,Axia,grey,petrol,Johor
2024-02-18,motorcar,Mazda,Mazda 3,silver,petrol,W.P. Kuala Lumpur
2024-08-23,motorcar,Perodua,Myvi,silver,petrol,Sabah
2024-12-13,motorcar,Honda,City,white,petrol,Kelantan
2024-03-02,motorcar,Perodua,Myvi,black,petrol,Sabah
2024-05-06,motorcar,Perodua,Myvi,silver,petrol,Kelantan
2024-07-25,motorcar,Mercedes-Benz,EQS,white,electric,Johor
2024-09-12,motorcar,Perodua,Axia,black,diesel,Pahang
2024-01-15,motorcar,Perodua,Myvi,red,petrol,Negeri Sembilan
2024-12-24,motorcar,Perodua,Bezza,white,petrol,Terengganu
2024-12-03,motorcar,Proton,X70,red,petrol,Negeri Sembilan
2024-12-06,motorcar,Toyota,Hilux,grey,petrol,Selangor
2024-01-05,motorcar,Perodua,Myvi,white,petrol,Selangor
2024-10-13,motorcar,Honda,HR-V,grey,petrol,Perak
2024-08-20,motorcar,Nissan,X-Trail,white,petrol,Kelantan
2024-12-12,motorcar,Perodua,Myvi,black,petrol,Selangor
2024-10-06,motorcar,Proton,Saga,black,petrol,Johor
2024-09-18,motorcar,Perodua,Bezza,grey,diesel,Sarawak
2024-05-01,motorcar,Toyota,Yaris,grey,petrol,Johor
2024-04-01,motorcar,Honda,City,white,petrol,Pahang
2024-05-22,motorcar,Perodua,Myvi,red,petrol,Sabah
2024-09-25,motorcar,Perodua,Myvi,red,petrol,Sarawak
2024-03-08,motorcar,Proton,Saga,grey,diesel,Perak
2024-06-22,motorcar,Toyota,Yaris,grey,petrol,Johor
2024-05-17,motorcar,Perodua,Bezza,black,petrol,Kelantan
2024-10-24,motorcar,Perodua,Axia,white,petrol,Perak
2024-09-10,motorcar,Perodua,Axia,white,petrol,Selangor
2024-03-21,motorcar,Proton,X70,grey,petrol,Terengganu
2024-06-14,motorcar,Perodua,Axia,white,petrol,Johor
2024-11-08,motorcar,Toyota,Yaris,red,petrol,Negeri Sembilan
2024-04-19,motorcar,Perodua,Bezza,silver,petrol,W.P. Kuala Lumpur
2024-04-16,motorcar,Perodua,Myvi,red,petrol,Melaka
2024-09-01,motorcar,Honda,City,grey,petrol,Negeri Sembilan
2024-11-01,motorcar,Honda,City,red,petrol,Pulau Pinang
2024-11-24,motorcar,Proton,Saga,silver,petrol,Johor
2024-04-05,motorcar,Proton,Saga,grey,hybrid_petrol,Melaka
2024-10-16,motorcar,Honda,City,grey,petrol,Negeri Sembilan
2024-12-15,motorcar,Proton,Saga,black,hybrid_petrol,Sabah
2024-04-27,motorcar,Mercedes-Benz,EQS,black,electric,Selangor
2024-02-20,motorcar,Nissan,Almera,white,petrol,Kelantan
2024-07-06,motorcar,Toyota,Vios,white,petrol,Selangor
2024-11-04,motorcar,Mazda,CX-5,white,petrol,Johor
2024-03-07,motorcar,Perodua,Bezza,silver,hybrid_petrol,W.P. Kuala Lumpur
2024-04-20,motorcar,BMW,iX3,red,electric,Selangor
2024-05-24,motorcar,Proton,X70,silver,petrol,Sarawak
2024-04-19,motorcar,Perodua,Bezza,white,petrol,Sarawak
2024-07-08,motorcar,Proton,Saga,grey,petrol,Sarawak
2024-08-01,motorcar,Proton,X70,grey,petrol,Johor
2024-03-11,motorcar,Perodua,Bezza,black,petrol,Sabah
2024-02-16,motorcar,Perodua,Myvi,black,petrol,Sabah
2024-04-07,motorcar,Honda,HR-V,red,petrol,Pulau Pinang
2024-08-18,motorcar,Nissan,X-Trail,black,petrol,Kedah
2024-01-14,motorcar,Perodua,Axia,grey,petrol,Negeri Sembilan
2024-09-02,motorcar,Toyota,Hilux,black,petrol,Pulau Pinang
2024-10-21,motorcar,Perodua,Myvi,grey,petrol,Melaka
2024-11-09,motorcar,Mazda,Mazda 3,white,petrol,Perak
2024-09-22,motorcar,Nissan,X-Trail,black,diesel,Johor
2024-04-10,motorcar,Perodua,Axia,white,petrol,Sabah
2024-09-11,motorcar,Perodua,Bezza,silver,diesel,Johor
2024-09-25,motorcar,Perodua,Axia,red,petrol,Pulau Pinang
2024-04-06,motorcar,Proton,X70,white,diesel,Sarawak
2024-01-11,motorcar,Honda,HR-V,red,petrol,Terengganu
2024-03-03,motorcar,Proton,X70,white,hybrid_petrol,Pulau Pinang
2024-04-17,motorcar,Perodua,Axia,black,petrol,Perak
2024-05-13,motorcar,Perodua,Axia,white,petrol,Sabah
2024-08-13,motorcar,Proton,Saga,grey,petrol,Kelantan
2024-08-22,motorcar,Proton,X70,grey,hybrid_petrol,Pahang
2024-10-17,motorcar,Proton,Saga,black,petrol,Selangor
2024-03-26,motorcar,Nissan,Almera,silver,petrol,Melaka
2024-05-01,motorcar,Perodua,Bezza,red,petrol,W.P. Kuala Lumpur
2024-06-02,motorcar,Toyota,Vios,black,petrol,Pulau Pinang
2024-11-12,motorcar,Perodua,Axia,red,petrol,Perlis
2024-02-21,motorcar,Perodua,Axia,black,petrol,Selangor
2024-12-09,motorcar,Honda,Civic,grey,hybrid_petrol,Negeri Sembilan
2024-11-21,motorcar,Toyota,Yaris,silver,petrol,Sarawak
2024-07-11,motorcar,Toyota,Vios,silver,petrol,Sabah
2024-08-15,motorcar,Proton,X50,red,petrol,Sabah
2024-07-20,motorcar,Perodua,Myvi,silver,petrol,Selangor
2024-11-24,motorcar,Proton,Saga,grey,petrol,Selangor
2024-06-15,motorcar,Proton,X50,white,petrol,Perlis
2024-09-27,motorcar,Proton,Saga,silver,petrol,Pulau Pinang
2024-02-03,motorcar,Perodua,Myvi,black,petrol,Sabah
2024-08-10,motorcar,Perodua,Bezza,silver,petrol,W.P. Kuala Lumpur
2024-02-23,motorcar,Perodua,Axia,grey,petrol,Sarawak
2024-01-13,motorcar,Perodua,Axia,grey,petrol,Kedah
2024-07-11,motorcar,Perodua,Myvi,silver,petrol,Selangor
2024-04-17,motorcar,Toyota,Yaris,silver,petrol,Terengganu
2024-09-14,motorcar,Proton,Saga,grey,petrol,Selangor
2024-11-20,motorcar,Toyota,Yaris,silver,petrol,Terengganu
2024-03-16,motorcar,Honda,HR-V,black,petrol,Selangor
2024-03-05,motorcar,Perodua,Bezza,grey,petrol,Selangor
2024-03-19,motorcar,Toyota,Yaris,red,petrol,W.P. Kuala Lumpur
2024-02-15,motorcar,Honda,HR-V,red,petrol,Negeri Sembilan
2024-02-21,motorcar,Honda,City,grey,petrol,Kelantan
2024-05-17,motorcar,Proton,X50,silver,petrol,Kedah
2024-09-20,motorcar,Perodua,Bezza,black,petrol,Negeri Sembilan
2024-09-08,motorcar,Perodua,Axia,red,petrol,Kedah
2024-04-23,motorcar,Tesla,Model Y,white,electric,Sabah
2024-12-01,motorcar,Proton,Saga,grey,petrol,Sarawak
2024-02-16,motorcar,Toyota,Yaris,silver,petrol,Kedah
2024-03-27,motorcar,Nissan,Almera,black,petrol,Kedah
2024-01-08,motorcar,Proton,Saga,black,petrol,Johor
2024-11-22,motorcar,Proton,X50,grey,petrol,Johor
2024-09-06,motorcar,Perodua,Bezza,red,petrol,Sarawak
2024-01-11,motorcar,Proton,Saga,red,petrol,Kelantan
2024-12-25,motorcar,Perodua,Myvi,black,petrol,W.P. Kuala Lumpur
2024-01-18,motorcar,Perodua,Bezza,white,petrol,Perak
2024-11-26,motorcar,Toyota,Yaris,silver,petrol,Selangor
2024-01-21,motorcar,Perodua,Bezza,black,petrol,Johor
2024-03-26,motorcar,Perodua,Axia,red,hybrid_petrol,Sabah
2024-07-23,motorcar,Honda,City,silver,petrol,Sarawak
2024-03-16,motorcar,Toyota,Vios,white,petrol,Kelantan
2024-08-09,motorcar,Proton,X70,white,petrol,Sabah
2024-01-27,motorcar,Honda,City,silver,hybrid_petrol,Sabah
2024-02-23,motorcar,Proton,X50,red,petrol,W.P. Kuala Lumpur
2024-10-14,motorcar,Proton,X50,white,petrol,Selangor
2024-11-19,motorcar,Hyundai,Kona Electric,grey,electric,Negeri Sembilan
2024-12-20,motorcar,Perodua,Myvi,red,petrol,Johor
2024-01-26,motorcar,Proton,X70,black,petrol,Perlis
2024-06-06,motorcar,Toyota,Vios,black,petrol,Kedah
2024-05-19,motorcar,Toyota,Vios,black,petrol,Terengganu
2024-11-11,motorcar,Perodua,Myvi,silver,petrol,Sabah
2024-08-20,motorcar,Perodua,Axia,silver,petrol,Melaka
2024-07-11,motorcar,Honda,HR-V,black,diesel,Kedah
2024-01-14,motorcar,BMW,iX,grey,electric,Selangor
2024-08-20,motorcar,Perodua,Bezza,grey,diesel,Kelantan
2024-06-20,motorcar,Perodua,Bezza,silver,petrol,Melaka
2024-05-04,motorcar,Perodua,Bezza,silver,diesel,Kelantan
2024-07-05,motorcar,Proton,X70,silver,petrol,Pulau Pinang
2024-09-07,motorcar,Perodua,Bezza,red,petrol,Selangor
2024-07-05,motorcar,Proton,X70,grey,petrol,Selangor
2024-02-19,motorcar,Perodua,Axia,white,petrol,Selangor
2024-04-25,motorcar,BMW,iX3,silver,electric,Sabah
2024-03-06,motorcar,Perodua,Myvi,grey,petrol,Sabah
2024-12-19,motorcar,Proton,X50,white,petrol,Sabah
2024-04-17,motorcar,Toyota,Hilux,red,petrol,Pahang
2024-01-20,motorcar,BYD,Seal,white,electric,Sarawak
2024-01-19,motorcar,Toyota,Yaris,red,petrol,Sabah
2024-04-15,motorcar,Perodua,Axia,silver,petrol,Selangor
2024-11-02,motorcar,Perodua,Myvi,black,petrol,Kelantan
2024-02-01,motorcar,Perodua,Axia,red,petrol,Negeri Sembilan
2024-03-26,motorcar,Perodua,Axia,white,hybrid_petrol,Kelantan
2024-10-09,motorcar,Toyota,Vios,grey,hybrid_petrol,Selangor
2024-10-15,motorcar,Perodua,Axia,grey,petrol,Pulau Pinang
2024-08-07,motorcar,Proton,X70,black,petrol,Selangor
2024-06-26,motorcar,Proton,X50,black,petrol,Sabah
2024-03-03,motorcar,Toyota,Yaris,silver,petrol,W.P. Kuala Lumpur
2024-05-02,motorcar,Nissan,Almera,silver,petrol,Selangor
2024-09-09,motorcar,Toyota,Yaris,white,petrol,Sabah
2024-03-19,motorcar,Proton,X70,red,petrol,Selangor
2024-08-04,motorcar,Toyota,Yaris,white,diesel,Johor
2024-04-18,motorcar,Proton,X50,silver,petrol,Melaka
2024-11-22,motorcar,Proton,X70,white,petrol,W.P. Kuala Lumpur
2024-07-26,motorcar,Perodua,Myvi,white,petrol,Selangor
2024-04-11,motorcar,Proton,X70,black,petrol,Sabah
2024-03-10,motorcar,Perodua,Axia,white,petrol,Pahang
2024-01-09,motorcar,Perodua,Bezza,black,petrol,Sabah
2024-02-23,motorcar,Mazda,CX-5,red,petrol,Terengganu
2024-02-24,motorcar,Perodua,Myvi,red,petrol,W.P. Labuan
2024-05-05,motorcar,Perodua,Axia,silver,petrol,Sarawak
2024-06-27,motorcar,Proton,X50,white,petrol,Johor
2024-05-12,motorcar,Perodua,Bezza,black,petrol,Johor
2024-07-13,motorcar,Honda,HR-V,grey,diesel,Perak
2024-06-25,motorcar,Proton,X50,grey,diesel,Sabah
2024-01-09,motorcar,Perodua,Bezza,silver,petrol,Selangor
2024-06-11,motorcar,Perodua,Myvi,grey,diesel,Pahang
2024-11-24,motorcar,Perodua,Myvi,silver,petrol,Terengganu
2024-09-05,motorcar,Toyota,Vios,white,petrol,Perlis
2024-10-18,motorcar,Toyota,Yaris,white,petrol,Selangor
2024-07-22,motorcar,Perodua,Bezza,silver,petrol,Terengganu
2024-01-16,motorcar,BYD,Dolphin,black,electric,Pulau Pinang
2024-10-09,motorcar,Proton,Saga,red,petrol,Negeri Sembilan
2024-02-08,motorcar,Proton,X50,black,petrol,Selangor
2024-03-23,motorcar,Nissan,Almera,white,petrol,Selangor
2024-05-24,motorcar,Perodua,Axia,red,petrol,Negeri Sembilan
2024-10-02,motorcar,Proton,X70,black,petrol,Kedah
2024-12-03,motorcar,Honda,City,black,petrol,Johor
2024-05-17,motorcar,Perodua,Myvi,black,petrol,Selangor
2024-07-16,motorcar,Tesla,Model Y,grey,electric,Selangor
2024-09-26,motorcar,Toyota,Yaris,white,petrol,Negeri Sembilan
2024-02-22,motorcar,Honda,City,white,petrol,Selangor
2024-01-26,motorcar,Toyota,Hilux,silver,petrol,Sabah
2024-11-10,motorcar,Honda,HR-V,black,diesel,Sabah
2024-11-01,motorcar,Proton,Saga,black,petrol,Selangor
2024-01-05,motorcar,Toyota,Vios,silver,petrol,Pulau Pinang
2024-05-27,motorcar,Toyota,Vios,grey,diesel,Kelantan
2024-06-16,motorcar,Toyota,Vios,white,petrol,Kelantan
2024-01-13,motorcar,Honda,HR-V,grey,petrol,Selangor
2024-01-05,motorcar,Nissan,X-Trail,grey,hybrid_petrol,Johor
2024-02-12,motorcar,Proton,X70,silver,petrol,Selangor
2024-06-16,motorcar,Perodua,Axia,white,petrol,Sarawak
2024-04-17,motorcar,Proton,Saga,grey,diesel,Pahang
2024-04-04,motorcar,Mazda,Mazda 3,white,petrol,Selangor
2024-02-24,motorcar,Tesla,Model Y,white,electric,Terengganu
2024-02-03,motorcar,Proton,Saga,white,petrol,Sabah
2024-02-22,motorcar,Proton,Saga,white,petrol,Kelantan
2024-09-06,motorcar,Perodua,Bezza,black,petrol,Perlis
2024-08-25,motorcar,Perodua,Bezza,grey,petrol,W.P. Labuan
2024-01-22,motorcar,Proton,X50,white,diesel,Selangor
2024-12-13,motorcar,Honda,City,black,petrol,Selangor
2024-01-10,motorcar,Honda,Civic,black,diesel,W.P. Kuala Lumpur
2024-06-20,motorcar,Honda,City,white,petrol,Kelantan
2024-05-17,motorcar,Nissan,Almera,black,petrol,Perak
2024-05-22,motorcar,Toyota,Yaris,red,petrol,Selangor
2024-07-21,motorcar,Nissan,X-Trail,grey,petrol,Perak
2024-06-04,motorcar,Honda,HR-V,silver,petrol,Kedah
2024-06-12,motorcar,Honda,City,silver,petrol,Sabah
2024-11-03,motorcar,Perodua,Myvi,black,petrol,Selangor
2024-06-26,motorcar,Perodua,Axia,silver,petrol,Selangor
2024-07-13,motorcar,Toyota,Hilux,grey,petrol,Sarawak
2024-07-09,motorcar,Perodua,Myvi,red,petrol,W.P. Kuala Lumpur
2024-05-18,motorcar,Proton,Saga,black,diesel,Selangor
2024-04-03,motorcar,Proton,X70,red,diesel,Sarawak
2024-05-24,motorcar,Perodua,Myvi,white,petrol,Selangor
2024-09-20,motorcar,Perodua,Myvi,silver,petrol,W.P. Kuala Lumpur
2024-02-11,motorcar,Honda,City,silver,petrol,Selangor
2024-01-16,motorcar,Perodua,Axia,red,petrol,Kelantan
2024-07-02,motorcar,Perodua,Bezza,black,petrol,Sabah
2024-09-13,motorcar,Perodua,Axia,red,diesel,Perak
2024-11-03,motorcar,Toyota,Hilux,white,petrol,Terengganu
2024-02-12,motorcar,Honda,HR-V,grey,diesel,Johor
2024-12-20,motorcar,Toyota,Yaris,grey,petrol,Perak
2024-11-04,motorcar,Honda,HR-V,red,hybrid_petrol,Pulau Pinang
2024-07-20,motorcar,Honda,HR-V,grey,petrol,Sarawak
2024-10-02,motorcar,Perodua,Myvi,red,petrol,Negeri Sembilan
2024-03-09,motorcar,Toyota,Yaris,grey,petrol,Kelantan
2024-10-07,motorcar,Toyota,Hilux,black,petrol,Sabah
2024-10-14,motorcar,Smart,#1,silver,electric,Sarawak
2024-11-06,motorcar,Honda,Civic,silver,petrol,Sarawak
2024-10-19,motorcar,Proton,X70,silver,petrol,Sabah
2024-11-12,motorcar,Perodua,Axia,red,petrol,Kedah
2024-03-11,motorcar,Proton,Saga,red,diesel,Sabah
2024-07-09,motorcar,Honda,HR-V,grey,petrol,Terengganu
2024-12-24,motorcar,Perodua,Myvi,black,diesel,Selangor
2024-05-08,motorcar,Perodua,Myvi,grey,petrol,Johor
2024-11-21,motorcar,Perodua,Axia,grey,petrol,Perak
2024-06-20,motorcar,Mazda,Mazda 3,black,petrol,Perak
2024-06-15,motorcar,Perodua,Myvi,silver,diesel,Selangor
2024-02-14,motorcar,Proton,Saga,white,petrol,Sabah
2024-06-08,motorcar,Proton,Saga,red,petrol,Selangor
2024-01-23,motorcar,Proton,X50,silver,petrol,W.P. Kuala Lumpur
2024-02-27,motorcar,Proton,X50,white,petrol,W.P. Kuala Lumpur
2024-06-26,motorcar,BYD,Atto 3,red,electric,Sabah
2024-01-04,motorcar,Proton,X70,red,petrol,Kedah
2024-09-20,motorcar,Proton,Saga,silver,petrol,W.P. Putrajaya
2024-07-25,motorcar,Perodua,Axia,silver,petrol,W.P. Kuala Lumpur
2024-08-14,motorcar,Toyota,Vios,white,petrol,Sabah
2024-07-24,motorcar,Perodua,Axia,white,petrol,Sabah
2024-02-02,motorcar,Mazda,CX-5,white,petrol,Johor
2024-03-19,motorcar,Proton,Saga,red,petrol,Sabah
2024-01-05,motorcar,Toyota,Vios,white,diesel,Pahang
2024-12-05,motorcar,Proton,Saga,grey,petrol,Johor
2024-09-07,motorcar,Proton,X50,black,diesel,Sabah
2024-03-12,motorcar,Honda,Civic,white,petrol,Selangor
2024-09-03,motorcar,Perodua,Myvi,red,petrol,W.P. Kuala Lumpur
2024-10-26,motorcar,Perodua,Axia,red,petrol,Perak
2024-07-08,motorcar,Perodua,Bezza,silver,petrol,Pahang
2024-05-27,motorcar,Toyota,Yaris,white,petrol,Kelantan
2024-07-18,motorcar,Perodua,Bezza,grey,petrol,Kelantan
2024-03-25,motorcar,Proton,Saga,red,petrol,Selangor
2024-12-26,motorcar,Perodua,Myvi,silver,hybrid_petrol,Selangor
2024-07-27,motorcar,Honda,HR-V,silver,petrol,Sarawak
2024-04-12,motorcar,Toyota,Hilux,silver,petrol,Negeri Sembilan
2024-05-05,motorcar,Honda,HR-V,red,petrol,W.P. Kuala Lumpur
2024-03-10,motorcar,Toyota,Hilux,grey,hybrid_petrol,Sabah
2024-05-19,motorcar,Perodua,Myvi,white,hybrid_petrol,W.P. Kuala Lumpur
2024-05-26,motorcar,Perodua,Bezza,grey,petrol,Sarawak
2024-02-07,motorcar,Perodua,Axia,white,hybrid_petrol,Perak
2024-04-27,motorcar,Toyota,Vios,white,hybrid_petrol,W.P. Labuan
2024-09-11,motorcar,Proton,X50,silver,diesel,Pahang
2024-09-17,motorcar,Toyota,Vios,silver,petrol,Sarawak
2024-09-03,motorcar,Proton,X50,white,petrol,Pahang
2024-03-27,motorcar,Honda,Civic,red,petrol,Pahang
2024-12-27,motorcar,Toyota,Yaris,red,petrol,Johor
2024-07-03,motorcar,Perodua,Bezza,black,petrol,Sabah
2024-03-03,motorcar,Proton,X70,silver,diesel,Sabah
2024-02-13,motorcar,Toyota,Vios,grey,petrol,Kelantan
2024-02-11,motorcar,Proton,X70,grey,petrol,Johor
2024-09-14,motorcar,Perodua,Bezza,silver,diesel,Melaka
2024-03-07,motorcar,Perodua,Myvi,silver,diesel,Sarawak
2024-01-02,motorcar,Honda,Civic,white,diesel,Perak
2024-06-09,motorcar,Proton,Saga,red,petrol,Selangor
2024-03-26,motorcar,Perodua,Myvi,red,petrol,Selangor
2024-12-20,motorcar,Nissan,Almera,black,petrol,Sabah
2024-12-08,motorcar,Proton,Saga,grey,petrol,Pahang
2024-05-17,motorcar,Perodua,Axia,black,petrol,Sabah
2024-09-16,motorcar,Toyota,Hilux,red,petrol,Terengganu
2024-05-27,motorcar,Nissan,X-Trail,white,petrol,Perak
2024-05-22,motorcar,Proton,X70,grey,petrol,Kelantan
2024-03-09,motorcar,Perodua,Axia,black,diesel,Selangor
2024-02-09,motorcar,Honda,Civic,black,petrol,Pahang
2024-11-15,motorcar,Toyota,Hilux,grey,diesel,Negeri Sembilan
2024-05-10,motorcar,Perodua,Bezza,grey,diesel,Terengganu
2024-12-26,motorcar,Proton,Saga,silver,petrol,Negeri Sembilan
2024-02-22,motorcar,Proton,Saga,silver,petrol,Perlis
2024-07-03,motorcar,Toyota,Vios,grey,petrol,Selangor
2024-07-14,motorcar,Perodua,Myvi,white,diesel,Selangor
2024-10-17,motorcar,Honda,HR-V,white,petrol,Sarawak
2024-01-27,motorcar,Perodua,Myvi,black,diesel,Johor
2024-03-16,motorcar,Proton,Saga,red,petrol,Johor
2024-03-09,motorcar,Proton,X70,silver,petrol,Johor
2024-04-24,motorcar,Perodua,Bezza,white,hybrid_petrol,Kedah
2024-09-24,motorcar,Perodua,Myvi,silver,petrol,Perak
2024-12-25,motorcar,Proton,X70,grey,petrol,Selangor
2024-09-07,motorcar,Proton,X50,red,petrol,Sabah
2024-11-24,motorcar,Toyota,Hilux,silver,hybrid_petrol,Sarawak
2024-09-14,motorcar,Proton,X70,white,petrol,Sarawak
2024-07-12,motorcar,Perodua,Axia,white,petrol,Perak
2024-03-24,motorcar,Honda,City,black,petrol,Pulau Pinang
2024-01-16,motorcar,Perodua,Axia,silver,petrol,Kedah
2024-10-20,motorcar,Proton,X70,grey,diesel,Selangor
2024-11-06,motorcar,Proton,X70,black,petrol,Sarawak
2024-01-09,motorcar,Perodua,Myvi,black,petrol,Sabah
2024-11-27,motorcar,Proton,Saga,silver,petrol,Pulau Pinang
2024-04-17,motorcar,Perodua,Myvi,red,petrol,Sabah
2024-07-11,motorcar,Perodua,Bezza,silver,petrol,W.P. Kuala Lumpur
2024-01-11,motorcar,Perodua,Bezza,silver,petrol,Kedah
2024-12-16,motorcar,Mazda,CX-5,grey,petrol,Kelantan
2024-06-23,motorcar,Perodua,Bezza,grey,petrol,Kelantan
2024-08-24,motorcar,Perodua,Bezza,white,petrol,Perak
2024-10-11,motorcar,Honda,Civic,red,hybrid_petrol,W.P. Kuala Lumpur
2024-01-08,motorcar,Perodua,Bezza,white,petrol,Selangor
2024-03-08,motorcar,Proton,Saga,silver,petrol,Pulau Pinang
2024-02-21,motorcar,Honda,Civic,silver,petrol,Pahang
2024-03-06,motorcar,Nissan,Almera,black,petrol,Johor
2024-10-08,motorcar,Proton,X50,silver,petrol,Sarawak
2024-07-26,motorcar,Proton,Saga,red,petrol,Selangor
2024-09-18,motorcar,Proton,X50,white,petrol,Kelantan
2024-10-17,motorcar,Toyota,Vios,grey,petrol,Selangor
2024-01-13,motorcar,Proton,X70,silver,petrol,Perak
2024-08-08,motorcar,Toyota,Vios,black,petrol,Perak
2024-04-06,motorcar,Perodua,Bezza,silver,hybrid_petrol,Perak
2024-08-04,motorcar,Proton,Saga,silver,hybrid_petrol,Selangor
2024-05-19,motorcar,Perodua,Myvi,red,hybrid_petrol,Negeri Sembilan
2024-04-19,motorcar,Perodua,Bezza,white,petrol,Johor
2024-06-23,motorcar,Proton,Saga,black,petrol,Johor
2024-02-17,motorcar,Toyota,Vios,grey,petrol,Kedah
2024-08-13,motorcar,Proton,X70,red,petrol,Kedah
2024-03-16,motorcar,Perodua,Bezza,white,hybrid_petrol,W.P. Kuala Lumpur
2024-04-01,motorcar,Proton,X70,silver,petrol,Kelantan
2024-11-23,motorcar,Perodua,Myvi,grey,petrol,Melaka
2024-04-18,motorcar,Proton,X50,white,petrol,Sabah
2024-02-17,motorcar,Perodua,Myvi,black,petrol,Sarawak
2024-03-12,motorcar,Perodua,Myvi,red,petrol,Selangor
2024-02-26,motorcar,Perodua,Bezza,red,petrol,Sarawak
2024-07-17,motorcar,Nissan,X-Trail,silver,petrol,Sarawak
2024-03-05,motorcar,Honda,City,red,petrol,Perak
2024-11-12,motorcar,Toyota,Hilux,white,diesel,Selangor
2024-03-16,motorcar,Honda,City,grey,diesel,Sabah
2024-12-13,motorcar,Proton,Saga,red,petrol,Sabah
2024-01-15,motorcar,Proton,X50,black,petrol,Selangor
2024-11-21,motorcar,Proton,X70,grey,petrol,Sarawak
2024-09-24,motorcar,Proton,X50,silver,diesel,Selangor
2024-05-23,motorcar,Perodua,Myvi,white,petrol,Negeri Sembilan
2024-01-06,motorcar,Honda,Civic,silver,petrol,Sarawak
2024-10-26,motorcar,Perodua,Axia,grey,petrol,Selangor
2024-11-09,motorcar,Toyota,Yaris,grey,petrol,Sabah
